Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Unnamed: 11,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Unnamed: 20,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
01/05/2020,Andhra Pradesh,102460.0,Tested,1463.0,100997.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.43%,1.96,1962.0,70.0,52221000.0
02/05/2020,Andhra Pradesh,108403.0,Tested,1525.0,106878.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.41%,2.08,2076.0,71.0,52221000.0
03/05/2020,Andhra Pradesh,114937.0,Tested,1583.0,113354.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.38%,2.2,2201.0,73.0,52221000.0
04/05/2020,Andhra Pradesh,125229.0,Tested,1650.0,123579.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.32%,2.4,2398.0,76.0,52221000.0
05/05/2020,Andhra Pradesh,133492.0,Tested,1717.0,131775.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.29%,2.56,2556.0,78.0,52221000.0
06/05/2020,Andhra Pradesh,141274.0,Tested,1777.0,139497.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.26%,2.71,2705.0,80.0,52221000.0
07/05/2020,Andhra Pradesh,149361.0,Tested,1833.0,147528.0,,,,,,,,,,,,,,https://t.me/indiacovid/4173?single,,,1.23%,2.86,2860.0,81.0,52221000.0
08/05/2020,Andhra Pradesh,156681.0,Tested,1887.0,154794.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.20%,3.0,3000.0,83.0,52221000.0
09/05/2020,Andhra Pradesh,165069.0,Tested,1930.0,163139.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.17%,3.16,3161.0,86.0,52221000.0
10/05/2020,Andhra Pradesh,173735.0,Tested,1980.0,171755.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.14%,3.33,3327.0,88.0,52221000.0
11/05/2020,Andhra Pradesh,181144.0,Tested,2018.0,179126.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.11%,3.47,3469.0,90.0,52221000.0
12/05/2020,Andhra Pradesh,191874.0,Tested,2051.0,189823.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.07%,3.67,3674.0,94.0,52221000.0
13/05/2020,Andhra Pradesh,201196.0,Tested,2137.0,199059.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.06%,3.85,3853.0,94.0,52221000.0
14/05/2020,Andhra Pradesh,210452.0,Tested,2100.0,208247.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.00%,4.03,4030.0,100.0,52221000.0
15/05/2020,Andhra Pradesh,219490.0,Tested,2157.0,217183.0,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,0.98%,4.2,4203.0,102.0,52221000.0
16/05/2020,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,52221000.0
17/05/2020,Andhra Pradesh,238998.0,Tested,2230.0,236618.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/35,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.93%,4.58,4577.0,107.0,52221000.0
18/05/2020,Andhra Pradesh,248771.0,Tested,2282.0,246279.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/45,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.92%,4.76,4764.0,109.0,52221000.0
19/05/2020,Andhra Pradesh,258450.0,Tested,2339.0,255961.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/56,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.91%,4.95,4949.0,110.0,52221000.0
20/05/2020,Andhra Pradesh,267612.0,Tested,2407.0,265052.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/67,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.90%,5.12,5125.0,111.0,52221000.0
21/05/2020,Andhra Pradesh,275704.0,Tested,2452.0,273099.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.89%,5.28,5280.0,112.0,52221000.0
22/05/2020,Andhra Pradesh,284119.0,Tested,2514.0,281452.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/103,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
23/05/2020,Andhra Pradesh,292969.0,Tested,2561.0,290255.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/114,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
24/05/2020,Andhra Pradesh,304326.0,Tested,2627.0,301529.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/143,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
25/05/2020,Andhra Pradesh,314566.0,Tested,2671.0,311680.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/150,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
26/05/2020,Andhra Pradesh,322714.0,Tested,2719.0,319731.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/164,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
27/05/2020,Andhra Pradesh,332378.0,Tested,2787.0,329261.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/180,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
28/05/2020,Andhra Pradesh,342236.0,Tested,2841.0,338991.0,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/201,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,
09/04/2020,Arunachal Pradesh,206.0,Samples Collected,1.0,185.0,20.0,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,,0.49%,0.14,137.0,206.0,1504000.0
14/04/2020,Arunachal Pradesh,280.0,Samples Collected,1.0,250.0,29.0,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,,0.36%,0.19,186.0,280.0,1504000.0
17/04/2020,Arunachal Pradesh,363.0,Samples Collected,1.0,338.0,25.0,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,,0.28%,0.24,241.0,363.0,1504000.0
18/04/2020,Arunachal Pradesh,389.0,Samples Collected,1.0,358.0,31.0,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,,0.26%,0.26,259.0,389.0,1504000.0
20/04/2020,Arunachal Pradesh,439.0,Samples Collected,1.0,405.0,34.0,,,,,,,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,,0.23%,0.29,292.0,439.0,1504000.0
21/04/2020,Arunachal Pradesh,454.0,Samples Collected,1.0,433.0,19.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.22%,0.3,302.0,454.0,1504000.0
22/04/2020,Arunachal Pradesh,496.0,Samples Collected,2.0,441.0,53.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.40%,0.33,330.0,248.0,1504000.0
24/04/2020,Arunachal Pradesh,526.0,Samples Collected,2.0,508.0,16.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.38%,0.35,350.0,263.0,1504000.0
26/04/2020,Arunachal Pradesh,568.0,Samples Collected,2.0,529.0,37.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.35%,0.38,378.0,284.0,1504000.0
27/04/2020,Arunachal Pradesh,584.0,Samples Collected,2.0,566.0,16.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.34%,0.39,388.0,292.0,1504000.0
28/04/2020,Arunachal Pradesh,610.0,Samples Collected,2.0,581.0,27.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.33%,0.41,406.0,305.0,1504000.0
29/04/2020,Arunachal Pradesh,662.0,Samples Collected,2.0,595.0,65.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.30%,0.44,440.0,331.0,1504000.0
30/04/2020,Arunachal Pradesh,694.0,Samples Collected,2.0,656.0,36.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.29%,0.46,461.0,347.0,1504000.0
01/05/2020,Arunachal Pradesh,724.0,Samples Collected,2.0,692.0,30.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.28%,0.48,481.0,362.0,1504000.0
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1504000.0
03/05/2020,Arunachal Pradesh,810.0,Samples Collected,2.0,761.0,47.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.25%,0.54,539.0,405.0,1504000.0
04/05/2020,Arunachal Pradesh,869.0,Samples Collected,2.0,762.0,105.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.23%,0.58,578.0,435.0,1504000.0
05/05/2020,Arunachal Pradesh,970.0,Samples Collected,2.0,814.0,154.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.21%,0.64,645.0,485.0,1504000.0
06/05/2020,Arunachal Pradesh,1039.0,Samples Collected,2.0,857.0,180.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.19%,0.69,691.0,520.0,1504000.0
07/05/2020,Arunachal Pradesh,1144.0,Samples Collected,2.0,952.0,190.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.17%,0.76,761.0,572.0,1504000.0
08/05/2020,Arunachal Pradesh,1354.0,Samples Collected,2.0,1015.0,337.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.15%,0.9,900.0,677.0,1504000.0
09/05/2020,Arunachal Pradesh,1597.0,Samples Collected,2.0,1266.0,329.0,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.13%,1.06,1062.0,799.0,1504000.0
10/05/2020,Arunachal Pradesh,1823.0,Samples Collected,2.0,1363.0,458.0,,,,,,,,,,,,5388.0,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,1.21,1212.0,912.0,1504000.0
11/05/2020,Arunachal Pradesh,2078.0,Samples Collected,2.0,1538.0,538.0,,,,,,,,,,,,5418.0,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.10%,1.38,1382.0,1039.0,1504000.0
12/05/2020,Arunachal Pradesh,2257.0,Samples Collected,2.0,1798.0,457.0,,,,,,,,,,,,5521.0,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.09%,1.5,1501.0,1129.0,1504000.0
13/05/2020,Arunachal Pradesh,2483.0,Samples Collected,2.0,1902.0,579.0,,,,,,,,,,,,5619.0,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.08%,1.65,1651.0,1242.0,1504000.0
14/05/2020,Arunachal Pradesh,2677.0,Samples Collected,2.0,2233.0,442.0,,,,,,,,,,,,5699.0,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,1.78,1780.0,1339.0,1504000.0
15/05/2020,Arunachal Pradesh,2942.0,Samples Collected,2.0,2546.0,394.0,,,,,,,,,,,,5753.0,https://t.me/Covid19india_Auxiliary_Test_Data/22,,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,1.96,1956.0,1471.0,1504000.0
16/05/2020,Arunachal Pradesh,3163.0,Samples Collected,2.0,2861.0,300.0,,,,,,,,,,,,5806.0,https://t.me/Covid19india_Auxiliary_Test_Data/32,,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,2.1,2103.0,1582.0,1504000.0
17/05/2020,Arunachal Pradesh,3349.0,Samples Collected,2.0,2966.0,381.0,,,,,,,,,,,,5851.0,https://t.me/Covid19india_Auxiliary_Test_Data/40,,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,2.23,2227.0,1675.0,1504000.0
18/05/2020,Arunachal Pradesh,3662.0,Samples Collected,2.0,3166.0,494.0,,,,,,,,,,,,5906.0,https://t.me/Covid19india_Auxiliary_Test_Data/54,,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,2.43,2435.0,1831.0,1504000.0
19/05/2020,Arunachal Pradesh,3941.0,Samples Collected,2.0,3392.0,547.0,,,,,,,,,,,,5944.0,https://t.me/Covid19india_Auxiliary_Test_Data/66,,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,2.62,2620.0,1971.0,1504000.0
20/05/2020,Arunachal Pradesh,4157.0,Samples Collected,2.0,3710.0,445.0,,,,,,,,,,,,5977.0,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.05%,2.76,2764.0,2079.0,1504000.0
21/05/2020,Arunachal Pradesh,4438.0,Samples Collected,2.0,3963.0,473.0,,,,,,,,,,,,6004.0,https://t.me/Covid19india_Auxiliary_Test_Data/90,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,2219.0,
22/05/2020,Arunachal Pradesh,4844.0,Samples Collected,2.0,4211.0,631.0,,,,,,,,,,,,6062.0,https://t.me/Covid19india_Auxiliary_Test_Data/108,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,
23/05/2020,Arunachal Pradesh,5206.0,Samples Collected,2.0,4340.0,864.0,,,,,,,,,,,,6125.0,https://t.me/Covid19india_Auxiliary_Test_Data/128,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,
24/05/2020,Arunachal Pradesh,5428.0,Samples Collected,2.0,4552.0,873.0,,,,,,,,,,,,6155.0,https://t.me/Covid19india_Auxiliary_Test_Data/145,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,
25/05/2020,Arunachal Pradesh,5997.0,Samples Collected,2.0,4941.0,1053.0,,,,,,,,,,,,6169.0,https://t.me/Covid19india_Auxiliary_Test_Data/159,,"http://covid19.itanagarsmartcity.in/covidstatus.php",,,,,
26/05/2020,Arunachal Pradesh,6319.0,Samples Collected,2.0,5083.0,1233.0,,,,,,,,,,,,6191.0,https://t.me/Covid19india_Auxiliary_Test_Data/174,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,
27/05/2020,Arunachal Pradesh,6436.0,Samples Collected,2.0,5405.0,1028.0,,,,,,,,,,,,6221.0,https://t.me/Covid19india_Auxiliary_Test_Data/193,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,
28/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,Assam,962.0,Tested,16.0,819.0,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,,1.66%,0.03,28.0,60.0,34293000.0
10/04/2020,Assam,2863.0,Tested,29.0,2685.0,,,,,,,3212.0,440.0,240.0,,,,9245.0,https://t.me/indiacovid/2003?single,,,1.01%,0.08,83.0,99.0,34293000.0
11/04/2020,Assam,3011.0,Tested,29.0,2842.0,,,,,,,3212.0,440.0,240.0,,,,9514.0,https://t.me/indiacovid/2075?single,,,0.96%,0.09,88.0,104.0,34293000.0
12/04/2020,Assam,3138.0,Tested,29.0,2973.0,194.0,,,,,,3212.0,440.0,240.0,,,,9845.0,https://t.me/indiacovid/2146?single,,,0.92%,0.09,92.0,108.0,34293000.0
14/04/2020,Assam,3491.0,Tested,31.0,3267.0,193.0,,,,,,3212.0,440.0,240.0,,,,10615.0,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,,0.89%,0.1,102.0,113.0,34293000.0
15/04/2020,Assam,3613.0,Tested,32.0,3492.0,89.0,,,,,,3212.0,440.0,240.0,,,,10915.0,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,0.11,105.0,113.0,34293000.0
16/04/2020,Assam,4108.0,Tested,34.0,3803.0,,,,,,,3338.0,440.0,303.0,,,,11248.0,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,,0.83%,0.12,120.0,121.0,34293000.0
17/04/2020,Assam,4236.0,Tested,34.0,4024.0,,,,,,,3338.0,440.0,303.0,,,,11561.0,https://twitter.com/nhm_assam/status/1251154796444184578,,,0.80%,0.12,124.0,125.0,34293000.0
18/04/2020,Assam,4400.0,Tested,34.0,4199.0,,,,,,,3338.0,440.0,303.0,,,,11847.0,https://twitter.com/nhm_assam,,,0.77%,0.13,128.0,129.0,34293000.0
19/04/2020,Assam,4865.0,Tested,34.0,4584.0,,,,,,,3338.0,440.0,303.0,,,,12148.0,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,,0.70%,0.14,142.0,143.0,34293000.0
20/04/2020,Assam,5112.0,Tested,34.0,4937.0,,,,,,,3338.0,440.0,303.0,,,,12478.0,https://twitter.com/nhm_assam/status/1252256054907461632,,,0.67%,0.15,149.0,150.0,34293000.0
21/04/2020,Assam,5514.0,Tested,34.0,5245.0,,,,,,,3338.0,440.0,303.0,,,,12853.0,https://twitter.com/nhm_assam/status/1252591349670576128,,,0.62%,0.16,161.0,162.0,34293000.0
24/04/2020,Assam,6680.0,Tested,35.0,6391.0,,,,,,,3338.0,440.0,303.0,,,,14478.0,https://twitter.com/nhm_assam/status/1253714714485538817,,,0.52%,0.19,195.0,191.0,34293000.0
25/04/2020,Assam,7159.0,Tested,35.0,6781.0,,,,,,,3338.0,440.0,303.0,,,,14812.0,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,,,0.49%,0.21,209.0,205.0,34293000.0
26/04/2020,Assam,7823.0,Tested,35.0,7474.0,,,,,,,3338.0,440.0,303.0,,,,15418.0,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,,,0.45%,0.23,228.0,224.0,34293000.0
27/04/2020,Assam,8117.0,Tested,35.0,7985.0,,,,,,,3338.0,440.0,303.0,,,,15809.0,https://twitter.com/nhm_assam/status/1254813929898835979,,,0.43%,0.24,237.0,232.0,34293000.0
28/04/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,0.0,0.0,,34293000.0
29/04/2020,Assam,9520.0,Tested,37.0,8771.0,,,,,,,3338.0,440.0,303.0,,,,16815.0,https://twitter.com/nhm_assam/status/1255530189448241159,,,0.39%,0.28,278.0,257.0,34293000.0
30/04/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,0.0,0.0,,34293000.0
01/05/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,0.0,0.0,,34293000.0
02/05/2020,Assam,11623.0,Tested,42.0,10499.0,,,,,,,3338.0,440.0,303.0,,,,18549.0,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,,,0.36%,0.34,339.0,277.0,34293000.0
03/05/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,0.0,0.0,,34293000.0
04/05/2020,Assam,12775.0,Tested,42.0,11764.0,,,,,,,3338.0,440.0,303.0,,,,19808.0,https://twitter.com/nhm_assam/status/1257309042742972421?s=19,,,0.33%,0.37,373.0,304.0,34293000.0
05/05/2020,Assam,13442.0,Tested,43.0,12533.0,,,,,,,3338.0,440.0,303.0,,,,20548.0,https://twitter.com/nhm_assam/status/1257686398108344321,,,0.32%,0.39,392.0,313.0,34293000.0
09/05/2020,Assam,16167.0,Tested,59.0,15076.0,,,,,,,3338.0,595.0,332.0,,,,22689.0,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,,,0.36%,0.47,471.0,274.0,34293000.0
10/05/2020,Assam,18002.0,Tested,62.0,16236.0,,,,,,,3338.0,595.0,332.0,,,,23315.0,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,,,0.34%,0.52,525.0,290.0,34293000.0
11/05/2020,Assam,19589.0,Tested,64.0,17813.0,,,,,,,3338.0,595.0,332.0,,,,23849.0,https://twitter.com/nhm_assam/status/1259873813346619393,,,0.33%,0.57,571.0,306.0,34293000.0
12/05/2020,Assam,21791.0,Tested,64.0,19211.0,,,,,,,3338.0,595.0,332.0,,,,24759.0,https://twitter.com/nhm_assam/status/1260233750119514112,,,0.29%,0.64,635.0,340.0,34293000.0
13/05/2020,Assam,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,34293000.0
14/05/2020,Assam,25824.0,Tested,86.0,23178.0,,,,,,,3338.0,595.0,332.0,,,,25677.0,https://twitter.com/nhm_assam/status/1260970754763640833,,,0.33%,0.75,753.0,300.0,34293000.0
